Pilotos,Pilotos,1AUS,2MYS,3BHR,4SMR,5ESP,6MCO,7EUR,8CAN,9USA,10FRA,11GBR,12DEU,13HUN,14TUR,15ITA,16BEL,17BRA,18JPN,19CHN,Pts
Pilotos,Pilotos,1AUS,2MYS,3BHR,4SMR,5ESP,6MCO,7EUR,8CAN,9USA,10FRA,11GBR,12DEU,13HUN,14TUR,15ITA,16BEL,17BRA,18JPN,19CHN,Pts
1.,F. ALONSO,6,10,10,10,8,5,10,-,-,10,8,10,-,8,8,8,6,6,10,133.00
2.,K. RAIKKONEN,1,-,6,-,10,10,-,10,-,8,6,-,10,10,5,10,8,10,8,112.00
3.,M. SCHUMACHER,-,2,-,8,-,2,4,8,10,6,3,4,8,-,-,-,5,2,-,62.00
4.,J. MONTOYA,3,5,,,2,4,2,-,-,-,10,8,-,6,10,-,10,-,-,60.00
5.,G. FISICHELLA,10,-,-,-,4,-,3,-,-,3,5,5,-,5,6,-,4,8,5,58.00
6.,R. SCHUMACHER,-,4,5,-,5,3,-,3,-,2,1,3,6,-,3,2,1,1,6,45.00
7.,J. TRULLI,-,8,8,4,6,-,1,-,-,4,-,-,5,3,4,-,-,-,-,43.00
8.,R. BARRICHELLO,8,-,-,-,-,1,6,6,8,-,2,-,-,-,-,4,3,-,-,38.00
9.,J. BUTTON,-,-,-,-,-,-,-,-,-,5,4,6,4,4,1,6,2,4,1,37.00
10.,M. WEBBER,4,-,3,2,3,6,-,4,-,-,-,-,2,-,-,5,-,5,2,36.00
11.,N. HEIDFELD,-,6,-,3,-,8,8,-,-,-,-,-,3,-,-,,,,,28.00
12.,D. COULTHARD,5,3,1,-,1,-,5,2,-,-,-,2,-,2,-,-,-,3,-,24.00
13.,F. MASSA,-,-,2,-,-,-,-,5,-,-,-,1,-,-,-,-,-,-,3,11.00
14.,J. VILLENEUVE,-,-,-,5,-,-,-,-,-,1,-,-,-,-,-,3,-,-,-,9.00
15.,C. KLIEN,2,1,-,,,,,1,-,-,-,-,-,1,-,-,-,-,4,9.00
16.,T. MONTEIRO,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,1,-,-,-,7.00
17.,A. WURZ,,,,6,,,,,,,,,,,,,,,,6.00
18.,N. KARTHIKEYAN,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,5.00
19.,C. ALBERS,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,4.00
20.,P. de la ROSA,,,4,,,,,,,,,,,,,,,,,4.00
21.,P. FRIESACHER,-,-,-,-,-,-,-,-,3,-,-,,,,,,,,,3.00
22.,A. PIZZONIA,,,,,,,,,,,,,,,2,-,-,-,-,2.00
23.,T. SATO,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.00
24.,V. LIUZZI,,,,1,-,-,-,,,,,,,,,,,,,1.00
25.,R. DOORNBOS,,,,,,,,,,,,-,-,-,-,-,-,-,-,0.00
