Pilotos,Pilotos,1AUS,2MYS,3BHR,4ESP,5MCO,6CAN,7USA,8FRA,9GBR,10EUR,11HUN,12TUR,13ITA,14BEL,15JPN,16CHN,17BRA,Pts
Pilotos,Pilotos,1AUS,2MYS,3BHR,4ESP,5MCO,6CAN,7USA,8FRA,9GBR,10EUR,11HUN,12TUR,13ITA,14BEL,15JPN,16CHN,17BRA,Pts
1.,K. RAIKKONEN,10,6,6,-,1,4,5,10,10,-,8,8,6,10,6,10,10,110.00
2.,L. HAMILTON,6,8,8,8,8,10,10,6,6,-,10,4,8,5,10,-,2,109.00
3.,F. ALONSO,8,10,4,6,10,2,8,2,8,10,5,6,10,6,-,8,6,109.00
4.,F. MASSA,3,4,10,10,6,-,6,8,4,8,-,10,-,8,3,6,8,94.00
5.,N. HEIDFELD,5,5,5,-,3,8,-,4,3,3,6,5,5,4,-,2,3,61.00
6.,R. KUBICA,-,-,3,5,4,-,,5,5,2,4,1,4,-,2,-,4,39.00
7.,H. KOVALAINEN,-,1,-,2,-,5,4,-,2,1,1,3,2,1,8,-,-,30.00
8.,G. FISICHELLA,4,3,1,-,5,-,-,3,1,-,-,-,-,-,4,-,-,21.00
9.,N. ROSBERG,2,-,-,3,-,-,-,-,-,-,2,2,3,3,-,-,5,20.00
10.,D. COULTHARD,-,-,-,4,-,-,-,-,-,4,-,-,-,-,5,1,-,14.00
11.,A. WURZ,-,-,-,-,2,6,-,-,-,5,-,-,-,-,-,-,,13.00
12.,M. WEBBER,-,-,-,-,-,-,2,-,-,6,-,-,-,2,-,-,-,10.00
13.,J. TRULLI,-,2,2,-,-,-,3,-,-,-,-,-,-,-,-,-,1,8.00
14.,S. VETTEL,,,,,,,1,,,,-,-,-,-,-,5,-,6.00
15.,J. BUTTON,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,4,-,6.00
16.,R. SCHUMACHER,1,-,-,-,-,1,-,-,-,-,3,-,-,-,-,-,-,5.00
17.,T. SATO,-,-,-,1,-,3,-,-,-,-,-,-,-,-,-,-,-,4.00
18.,V. LIUZZI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3.00
19.,A. SUTIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1.00
20.,S. SPEED,-,-,-,-,-,-,-,-,-,-,,,,,,,,0.00
21.,R. BARRICHELLO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00
22.,K. NAKAJIMA,,,,,,,,,,,,,,,,,-,0.00
23.,A. DAVIDSON,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00
24.,S. YAMAMOTO,,,,,,,,,,,-,-,-,-,-,-,-,0.00
25.,C. ALBERS,-,-,-,-,-,-,-,-,-,,,,,,,,,0.00
