Pilotos,Pilotos,1AUS,2MYS,3BHR,4ESP,5TUR,6MCO,7CAN,8FRA,9GBR,10DEU,11HUN,12EUR,13BEL,14ITA,15SGP,16JPN,17CHN,18BRA,Pts
Pilotos,Pilotos,1AUS,2MYS,3BHR,4ESP,5TUR,6MCO,7CAN,8FRA,9GBR,10DEU,11HUN,12EUR,13BEL,14ITA,15SGP,16JPN,17CHN,18BRA,Pts
1.,L. HAMILTON,10,4,-,6,8,10,-,-,10,10,4,8,6,2,6,-,10,4,98.00
2.,F. MASSA,-,-,10,8,10,6,4,10,-,6,-,10,10,3,-,2,8,10,97.00
3.,K. RAIKKONEN,1,10,8,10,6,-,-,8,5,3,6,-,-,-,-,6,6,6,75.00
4.,R. KUBICA,-,8,6,5,5,8,10,4,-,2,1,6,3,6,-,8,3,-,75.00
5.,F. ALONSO,5,1,-,-,3,-,-,1,3,-,5,-,5,5,10,10,5,8,61.00
6.,N. HEIDFELD,8,3,5,-,4,-,8,-,8,5,-,-,8,4,3,-,4,-,60.00
7.,H. KOVALAINEN,4,6,4,-,-,1,-,5,4,4,10,5,-,8,-,-,-,2,53.00
8.,S. VETTEL,-,-,-,-,-,4,1,-,-,1,-,3,4,10,4,3,-,5,35.00
9.,J. TRULLI,-,5,3,1,-,-,3,6,2,-,2,4,-,-,-,4,-,1,31.00
10.,T. GLOCK,-,-,-,-,-,-,5,-,-,-,8,2,-,-,5,-,2,3,25.00
11.,M. WEBBER,-,2,2,4,2,5,-,3,-,-,-,-,1,1,-,1,-,-,21.00
12.,N. PIQUET,-,-,-,-,-,-,-,2,-,8,3,-,-,-,-,5,1,-,19.00
13.,N. ROSBERG,6,-,1,-,1,-,-,-,-,-,-,1,-,-,8,-,-,-,17.00
14.,R. BARRICHELLO,-,-,-,-,-,3,2,-,6,-,-,-,-,-,-,-,-,-,11.00
15.,K. NAKAJIMA,3,-,-,2,-,2,-,-,1,-,-,-,-,-,1,-,-,-,9.00
16.,D. COULTHARD,-,-,-,-,-,-,6,-,-,-,-,-,-,-,2,-,-,-,8.00
17.,S. BOURDAIS,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,4.00
18.,J. BUTTON,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.00
19.,G. FISICHELLA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00
20.,A. SUTIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00
21.,T. SATO,-,-,-,-,-,,,,,,,,,,,,,,0.00
22.,A. DAVIDSON,-,-,-,-,-,,,,,,,,,,,,,,0.00
