Pos.,Driver,AUS,MAL,CHN,BHR,ESP,MON,CAN,EUR,GBR,GER,HUN,BEL,ITA,SIN,JPN,KOR,IND,ABU,USA,BRA,Points,Unnamed: 23,Unnamed: 24
1,Sebastian Vettel,2,11,5,1PF,6,4,4PF,RetP,3,5,4F,2,22†,1,1PF,1,1P,3F,2PF,6,281,,
2,Fernando Alonso,5,1,9,7,2,3,5,1,2P,1P,5,Ret,3,3,Ret,3,2,2,3,2,278,,
3,Kimi Räikkönen,7,5F,14,2,3,9,8,2,5F,3,2,3,5,6,6,5,7,1,6,10,207,,
4,Lewis Hamilton,3P,3P,3,8,8,5,1,19†,8,Ret,1P,Ret,1P,RetP,5,10,4,RetP,1,RetPF,190,,
5,Jenson Button,1F,14,2,18†,9,16†,16,8,10,2,6,1P,Ret,2,4,Ret,5F,4,5,1,188,,
6,Mark Webber,4,4,4,4,11,1P,7,4,1,8,8,6,20†,11,9,2PF,3,Ret,Ret,4,179,,
7,Felipe Massa,Ret,15,13,9,15,6,10,16,4,12,9,5,4,8,2,4,6,7,4,3,122,,
8,Romain Grosjean,Ret,Ret,6,3,4F,Ret,2,Ret,6,18,3,Ret,,7,19†,7,9,Ret,7,Ret,96,,
9,Nico Rosberg,12,13,1P,5,7,2,6,6F,15,10,10,11,7F,5,Ret,Ret,11,Ret,13,15,93,,
10,Sergio Pérez,8,2,11,11,Ret,11F,3,9,Ret,6,14,Ret,2,10,Ret,11,Ret,15,11,Ret,66,,
11,Nico Hülkenberg,Ret,9,15,12,10,8,12,5,12,9,11,4,21†,14F,7,6,8,Ret,8,5,63,,
12,Kamui Kobayashi,6,Ret,10F,13,5,Ret,9,Ret,11,4,18†,13,9,13,3,Ret,14,6,14,9,60,,
13,Michael Schumacher,Ret,10,Ret,10,Ret,Ret,Ret,3,7,7F,Ret,7,6,Ret,11,13,22†,11,16,7,49,,
14,Paul di Resta,10,7,12,6,14,7,11,7,Ret,11,12,10,8,4,12,12,12,9,15,19†,46,,
15,Pastor Maldonado,13†,19†,8,Ret,1P,Ret,13,12,16,15,13,Ret,11,Ret,8,14,16,5,9,Ret,45,,
16,Bruno Senna,16†,6,7,22†,Ret,10,17,10,9,17,7,12F,10,18†,14,15,10,8,10,Ret,31,,
17,Jean-Éric Vergne,11,8,16,14,12,12,15,Ret,14,14,16,8,Ret,Ret,13,8,15,12,Ret,8,16,,
18,Daniel Ricciardo,9,12,17,15,13,Ret,14,11,13,13,15,9,12,9,10,9,13,10,12,13,10,,
19,Vitaly Petrov,Ret,16,18,16,17,Ret,19,13,DNS,16,19,14,15,19,17,16,17,16,17,11,0,,
20,Timo Glock,14,17,19,19,18,14,Ret,DNS,18,22,21,15,17,12,16,18,20,14,19,16,0,,
21,Charles Pic,15†,20,20,Ret,Ret,Ret,20,15,19,20,20,16,16,16,Ret,19,19,Ret,20,12,0,,
22,Heikki Kovalainen,Ret,18,23,17,16,13,18,14,17,19,17,17,14,15,15,17,18,13,18,14,0,,
23,Jérôme d'Ambrosio,,,,,,,,,,,,,13,,,,,,,,0,,
24,Narain Karthikeyan,DNQ,22,22,21,Ret,15,Ret,18,21,23,Ret,Ret,19,Ret,Ret,20,21,Ret,22,18,0,,
25,Pedro de la Rosa,DNQ,21,21,20,19,Ret,Ret,17,20,21,22,18,18,17,18,Ret,Ret,17,21,17,0,,
Pos.,Driver,AUS,MAL,CHN,BHR,ESP,MON,CAN,EUR,GBR,GER,HUN,BEL,ITA,SIN,JPN,KOR,IND,ABU,USA,BRA,Points,,
Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337],Source:[337]
