,Pos.,Driver,USA,BRA,SMR,MON,CAN,MEX,FRA,GBR,GER,HUN,BEL,ITA,POR,ESP,JPN,AUS,Points[a]
0,1,Ayrton Senna,1,3P,RetP,1PF,1P,20†,3,3,1P,2,1P,1PF,2,RetP,RetP,RetP,78
1,2,Alain Prost,Ret,1,4,Ret,(5),1F,1,1,4,Ret,2F,2,3,1,Ret,3,71 (73)
2,3,Nelson Piquet,4,(6),5,DSQ,2,6,4,5,Ret,3,5,7,5,Ret,1,1,43 (44)
3,4,Gerhard Berger,RetPF,2F,2,3,4F,3P,5,14†,3,16†,3,3,4,Ret,Ret,4,43
4,5,Nigel Mansell,Ret,4,Ret,Ret,3,2,18PF†,RetPF,Ret,17†,Ret,4,1P,2,Ret,2F,37
5,6,Thierry Boutsen,3,5,Ret,4,Ret,5,Ret,2,6F,1P,Ret,Ret,Ret,4,5,5,34
6,7,Riccardo Patrese,9,13†,1,Ret,Ret,9,6,Ret,5,4F,Ret,5,7F,5F,4F,6,23
7,8,Alessandro Nannini,11,10†,3F,Ret,Ret,4,16†,Ret,2,Ret,4,8,6,3,-,-,21
8,9,Jean Alesi,2,7,6,2,Ret,7,Ret,8,11†,Ret,8,Ret,8,Ret,DNS,8,13
9,10[b],Ivan Capelli,Ret,DNQ,Ret,Ret,10,DNQ,2,Ret,7,Ret,7,Ret,Ret,Ret,Ret,Ret,6
10,=[b],Roberto Moreno,13,DNPQ,Ret,DNQ,DNQ,EX,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,2,7,6
11,12,Aguri Suzuki,Ret,Ret,Ret,Ret,12,Ret,7,6,Ret,Ret,Ret,Ret,14†,6,3,Ret,6
12,13,Éric Bernard,8,Ret,13†,6,9,Ret,8,4,Ret,6,9,Ret,Ret,Ret,Ret,Ret,5
13,14,Derek Warwick,Ret,Ret,7,Ret,6,10,11,Ret,8,5,11,Ret,Ret,Ret,Ret,Ret,3
14,15,Satoru Nakajima,6,8,Ret,Ret,11,Ret,Ret,Ret,Ret,Ret,Ret,6,DNS,Ret,6,Ret,3
15,16[c],Alex Caffi,-,Ret,DNQ,5,8,DNQ,Ret,7,9,9,10,9,13†,-,9,DNQ,2
16,=[c],Stefano Modena,5,Ret,Ret,Ret,7,11,13,9,Ret,Ret,17†,Ret,Ret,Ret,Ret,12,2
17,18,Maurício Gugelmin,14,DNQ,Ret,DNQ,DNQ,DNQ,Ret,DNS,Ret,8,6,Ret,12,8,Ret,Ret,1
18,—,Nicola Larini,Ret,11,10,Ret,Ret,16,14,10,10,11,14,11,10,7,7,10,0
19,—,Martin Donnelly,DNS,Ret,8,Ret,Ret,8,12,Ret,Ret,7,12,Ret,Ret,DNS,-,-,0
20,—,Pierluigi Martini,7,9,DNS,Ret,Ret,12,Ret,Ret,Ret,Ret,15,Ret,11,Ret,8,9,0
21,—,Gregor Foitek,Ret,Ret,Ret,7†,Ret,15,DNQ,DNQ,Ret,DNQ,-,-,-,-,-,-,0
22,—,Philippe Alliot,EX,12,9,Ret,Ret,18,9,13,DSQ,14,DNQ,13,Ret,Ret,10,11,0
23,—,Michele Alboreto,10,Ret,DNQ,DNQ,Ret,17,10,Ret,Ret,12,13,12†,9,10,Ret,DNQ,0
24,—,Yannick Dalmas,DNPQ,Ret,DNPQ,DNPQ,DNPQ,DNPQ,17,DNPQ,DNQ,DNQ,DNQ,NC,Ret,9,DNQ,DNQ,0
25,—,Emanuele Pirro,-,-,Ret,Ret,Ret,Ret,Ret,11,Ret,10,Ret,Ret,15,Ret,Ret,Ret,0
26,—,Andrea de Cesaris,Ret,Ret,Ret,Ret,Ret,13,DSQ,Ret,DNQ,Ret,Ret,10,Ret,Ret,Ret,Ret,0
27,—,Paolo Barilla,Ret,Ret,11,Ret,DNQ,14,DNQ,12,DNQ,15,Ret,DNQ,DNQ,DNQ,-,-,0
28,—,JJ Lehto,DNQ,DNQ,12,Ret,Ret,Ret,DNQ,DNQ,NC,DNQ,-,-,-,-,-,-,0
29,—,Bernd Schneider,12,-,-,-,-,-,-,-,-,-,-,-,-,DNQ,-,-,0
30,—,Olivier Grouillard,Ret,Ret,Ret,DNQ,13,19,DNPQ,DNQ,DNQ,DNPQ,16,Ret,DNQ,Ret,DNQ,13,0
31,—,Gabriele Tarquini,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNQ,Ret,DNPQ,13,DNQ,DNQ,DNQ,Ret,DNQ,Ret,0
32,—,Gianni Morbidelli,DNQ,14,-,-,-,-,-,-,-,-,-,-,-,-,Ret,Ret,0
33,—,David Brabham,-,-,DNQ,Ret,DNQ,Ret,15,DNQ,Ret,DNQ,Ret,DNQ,Ret,DNQ,Ret,Ret,0
34,—,Johnny Herbert,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ret,Ret,0
35,—,Bertrand Gachot,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,0
36,—,Stefan Johansson,DNQ,DNQ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
37,—,Claudio Langes,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,-,-,0
38,—,Bruno Giacomelli,-,-,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,DNPQ,-,-,0
39,—,Gary Brabham,DNPQ,DNPQ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
