,Pos.,Driver,AUS,MAL,BHR,SMR,ESP,MON,EUR,CAN,USA‡,FRA,GBR,GER,HUN,TUR,ITA,BEL,BRA,JPN,CHN,Points
0,1,Fernando Alonso,3F,1P,1P,1,2,4,1F,Ret,DNS,1P,2P,1,11,2,2,2,3P,3,1P,133
1,2,Kimi Räikkönen,8,9F,3,RetP,1P,1P,11†,1F,DNS,2F,3F,RetPF,1F,1P,4F,1,2F,1F,2F,112
2,3,Michael Schumacher,Ret,7,Ret,2F,Ret,7F,5,2,1F,3,6,5,2P,Ret,10,Ret,4,7,Ret,62
3,4,Juan Pablo Montoya,6,4,-,-,7,5,7,DSQ,DNS,Ret,1,2,Ret,3F,1P,14P†,1,Ret,Ret,60
4,5,Giancarlo Fisichella,1P,Ret,Ret,Ret,5F,12,6,Ret,DNS,6,4,4,9,4,3,Ret,5,2,4,58
5,6,Ralf Schumacher,12,5,4,9,4,6,Ret,6,WD,7,8,6,3,12,6,7F,8,8P,3,45
6,7,Jarno Trulli,9,2,2,5,3,10,8,Ret,DNSP,5,9,14†,4,6,5,Ret,13†,Ret,15,43
7,8,Rubens Barrichello,2,Ret,9,Ret,9,8,3,3,2,9,7,10,10,10,12,5,6,11,12,38
8,9,Jenson Button,11†,Ret,Ret,DSQ,-,-,10,RetP,DNS,4,5,3,5,5,8,3,7,5,8,37
9,10,Mark Webber,5,Ret,6,7,6,3,Ret,5,DNS,12,11,NC,7,Ret,14,4,NC,4,7,36
10,11,Nick Heidfeld,Ret,3,Ret,6,10,2,2P,Ret,DNS,14,12,11,6,Ret,WD,-,-,-,-,28
11,12,David Coulthard,4,6,8,11,8,Ret,4,7,DNS,10,13,7,Ret,7,15,Ret,Ret,6,9,24
12,13,Felipe Massa,10,10,7,10,11†,9,14,4,DNS,Ret,10,8,14,Ret,9,10,11,10,6,11
13,14,Jacques Villeneuve,13,Ret,11†,4,Ret,11,13,9,DNS,8,14,15,Ret,11,11,6,12,12,10,9
14,15,Christian Klien,7,8,DNS,-,-,-,-,8,DNS,Ret,15,9,Ret,8,13,9,9,9,5,9
15,16,Tiago Monteiro,16,12,10,13,12,13,15,10,3,13,17,17,13,15,17,8,Ret,13,11,7
16,17,Alexander Wurz,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
17,18,Narain Karthikeyan,15,11,Ret,12,13,Ret,16,Ret,4,15,Ret,16,12,14,20,11,15,15,Ret,5
18,19,Christijan Albers,Ret,13,13,Ret,Ret,14,17,11,5,Ret,18,13,NC,Ret,19,12,14,16,16†,4
19,20,Pedro de la Rosa,-,-,5F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
20,21,Patrick Friesacher,17,Ret,12,Ret,Ret,Ret,18,Ret,6,Ret,19,-,-,-,-,-,-,-,-,3
21,22,Antônio Pizzonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,15†,Ret,Ret,13†,2
22,23,Takuma Sato,14†,WD,Ret,DSQ,-,-,12,Ret,DNS,11,16,12,8,9,16,Ret,10,DSQ,Ret,1
23,24,Vitantonio Liuzzi,-,-,-,8,Ret,Ret,9,-,-,-,-,-,-,-,-,-,-,-,-,1
24,25,Robert Doornbos,-,-,-,-,-,-,-,-,-,-,-,18,Ret,13,18,13,Ret,14,14†,0
25,—,Anthony Davidson,-,Ret,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
26,—,Ricardo Zonta,-,-,-,-,-,-,-,-,DNS,-,-,-,-,-,-,-,-,-,-,0
