,Pos.,Driver,BHR,MAL,AUS,SMR,EUR,ESP,MON,GBR,CAN,USA,FRA,GER,HUN,TUR,ITA,CHN,JPN,BRA,Points
0,1,Fernando Alonso,1,2F,1,2F,2P,1P,1P,1PF,1P,5,2,5,Ret,2,Ret,2PF,1F,2,134
1,2,Michael Schumacher,2P,6,Ret,1P,1F,2,5F,2,2,1PF,1PF,1F,8†,3F,1,1,Ret,4F,121
2,3,Felipe Massa,9,5,Ret,4,3,4F,9,5,5,2,3,2,7F,1P,9,Ret,2P,1P,80
3,4,Giancarlo Fisichella,Ret,1P,5,8,6,3,6,4,4,3,6,6,Ret,6,4,3,3,6,72
4,5,Kimi Räikkönen,3,Ret,2F,5,4,5,Ret,3,3F,Ret,5,3P,RetP,Ret,2PF,Ret,5,5,65
5,6,Jenson Button,4,3,10P†,7,Ret,6,11,Ret,9,Ret,Ret,4,1,4,5,4,4,3,56
6,7,Rubens Barrichello,15,10,7,10,5,7,4,10,Ret,6,Ret,Ret,4,8,6,6,12,7,30
7,8,Juan Pablo Montoya,5,4,Ret,3,Ret,Ret,2,6,Ret,Ret,-,-,-,-,-,-,-,-,26
8,9,Nick Heidfeld,12,Ret,4,13,10,8,7,7,7,Ret,8,Ret,3,14,8,7,8,17†,23
9,10,Ralf Schumacher,14,8,3,9,Ret,Ret,8,Ret,Ret,Ret,4,9,6,7,15,Ret,7,Ret,20
10,11,Pedro de la Rosa,-,-,-,-,-,-,-,-,-,-,7,Ret,2,5,Ret,5,11,8,19
11,12,Jarno Trulli,16,9,Ret,Ret,9,10,17†,11,6,4,Ret,7,12†,9,7,Ret,6,Ret,15
12,13,David Coulthard,10,Ret,8,Ret,Ret,14,3,12,8,7,9,11,5,15†,12,9,Ret,Ret,14
13,14,Mark Webber,6,Ret,Ret,6,Ret,9,Ret,Ret,12,Ret,Ret,Ret,Ret,10,10,8,Ret,Ret,7
14,15,Jacques Villeneuve,Ret,7,6,12,8,12,14,8,Ret,Ret,11,Ret,-,-,-,-,-,-,7
15,16,Robert Kubica,-,-,-,-,-,-,-,-,-,-,-,-,DSQ,12,3,13,9,9,6
16,17,Nico Rosberg,7F,Ret,Ret,11,7,11,Ret,9,Ret,9,14,Ret,Ret,Ret,Ret,11,10,Ret,4
17,18,Christian Klien,8,Ret,Ret,Ret,Ret,13,Ret,14,11,Ret,12,8,Ret,11,11,-,-,-,2
18,19,Vitantonio Liuzzi,11,11,Ret,14,Ret,15†,10,13,13,8,13,10,Ret,Ret,14,10,14,13,1
19,20,Scott Speed,13,Ret,9,15,11,Ret,13,Ret,10,Ret,10,12,11,13,13,14,18†,11,0
20,21,Tiago Monteiro,17,13,Ret,16,12,16,15,16,14,Ret,Ret,DSQ,9,Ret,Ret,Ret,16,15,0
21,22,Christijan Albers,Ret,12,11,Ret,13,Ret,12,15,Ret,Ret,15,DSQ,10,Ret,17,15,Ret,14,0
22,23,Takuma Sato,18,14,12,Ret,Ret,17,Ret,17,15†,Ret,Ret,Ret,13,NC,16,DSQ,15,10,0
23,24,Robert Doornbos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,13,12,0
24,25,Yuji Ide,Ret,Ret,13,Ret,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
25,26,Sakon Yamamoto,-,-,-,-,-,-,-,-,-,-,-,Ret,Ret,Ret,Ret,16,17,16,0
26,27,Franck Montagny,-,-,-,-,Ret,Ret,16,18,Ret,Ret,16,-,-,-,-,-,-,-,0
