,Pos.,Driver,AUS,MAL,CHN,TUR,ESP,MON,CAN,EUR,GBR,GER,HUN,BEL,ITA,SIN,JPN,KOR,IND,ABU,BRA,Points
0,1,Sebastian Vettel,1P,1P,2P,1P,1,1P,2P,1PF,2,4,2P,1P,1P,1P,3P,1F,1PF,RetP,2P,392
1,2,Jenson Button,6,2,4,6,3,3,1F,6,Ret,Ret,1,3,2,2F,1F,4,2,3,3,270
2,3,Mark Webber,5,4F,3F,2F,4P,4F,3,3,3P,3P,5,2F,Ret,3,4,3,4,4F,1F,258
3,4,Fernando Alonso,4,6,7,3,5,2,Ret,2,1F,2,3,4,3,4,2,5,3,2,4,257
4,5,Lewis Hamilton,2,8,1,4,2F,6,Ret,4,4,1F,4,Ret,4F,5,5,2P,7,1,Ret,227
5,6,Felipe Massa,7F,5,6,11,Ret,Ret,6,5,5,5,6F,8,6,9,7,6,Ret,5,5,118
6,7,Nico Rosberg,Ret,12,5,5,7,11,11,7,6,7,9,6,Ret,7,10,8,6,6,7,89
7,8,Michael Schumacher,Ret,9,8,12,6,Ret,4,17,9,8,Ret,5,5,Ret,6,Ret,5,7,15,76
8,9,Adrian Sutil,9,11,15,13,13,7,Ret,9,11,6,14,7,Ret,8,11,11,9,8,6,42
9,10,Vitaly Petrov,3,17†,9,8,11,Ret,5,15,12,10,12,9,Ret,17,9,Ret,11,13,10,37
10,11,Nick Heidfeld,12,3,12,7,8,8,Ret,10,8,Ret,Ret,-,-,-,-,-,-,-,-,34
11,12,Kamui Kobayashi,DSQ,7,10,10,10,5,7,16,Ret,9,11,12,Ret,14,13,15,Ret,10,9,30
12,13,Paul di Resta,10,10,11,Ret,12,12,18†,14,15,13,7,11,8,6,12,10,13,9,8,27
13,14,Jaime Alguersuari,11,14,Ret,16,16,Ret,8,8,10,12,10,Ret,7,21†,15,7,8,15,11,26
14,15,Sébastien Buemi,8,13,14,9,14,10,10,13,Ret,15,8,Ret,10,12,Ret,9,Ret,Ret,12,15
15,16,Sergio Pérez,DSQ,Ret,17,14,9,DNS,WD,11,7,11,15,Ret,Ret,10,8,16,10,11,13,14
16,17,Rubens Barrichello,Ret,Ret,13,15,17,9,9,12,13,Ret,13,16,12,13,17,12,15,12,14,4
17,18,Bruno Senna,-,-,-,-,-,-,-,-,-,-,-,13,9,15,16,13,12,16,17,2
18,19,Pastor Maldonado,Ret,Ret,18,17,15,18†,Ret,18,14,14,16,10,11,11,14,Ret,Ret,14,Ret,1
19,20,Pedro de la Rosa,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,0
20,21,Jarno Trulli,13,Ret,19,18,18,13,16,20,Ret,-,Ret,14,14,Ret,19,17,19,18,18,0
21,22,Heikki Kovalainen,Ret,15,16,19,Ret,14,Ret,19,Ret,16,Ret,15,13,16,18,14,14,17,16,0
22,23,Vitantonio Liuzzi,DNQ,Ret,22,22,Ret,16,13,23,18,Ret,20,19,Ret,20,23,21,-,20,Ret,0
23,24,Jérôme d'Ambrosio,14,Ret,20,20,20,15,14,22,17,18,19,17,Ret,18,21,20,16,Ret,19,0
24,25,Timo Glock,NC,16,21,DNS,19,Ret,15,21,16,17,17,18,15,Ret,20,18,Ret,19,Ret,0
25,26,Narain Karthikeyan,DNQ,Ret,23,21,21,17,17,24,-,-,-,-,-,-,-,-,17,-,-,0
26,27,Daniel Ricciardo,-,-,-,-,-,-,-,-,19,19,18,Ret,NC,19,22,19,18,Ret,20,0
27,28,Karun Chandhok,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,0
