,Pos.,Driver,AUS,MAL,CHN,BHR,ESP,MON,CAN,GBR,GER,HUN,BEL,ITA,SIN,KOR,JPN,IND,ABU,USA,BRA,Points
0,1,Sebastian Vettel,3P,1P,4F,1F,4,2F,1P,Ret,1,3,1F,1P,1PF,1PF,1,1P,1,1PF,1P,397
1,2,Fernando Alonso,2,Ret,1,8,1,7,2,3,4F,5,2,2,2,6,4,11,5F,5,3,242
2,3,Mark Webber,6,2,Ret,7,5,3,4F,2F,7,4F,5,3,15†,Ret,2PF,Ret,2P,3,2F,199
3,4,Lewis Hamilton,5,3,3P,5,12,4,3,4P,5P,1P,3P,9F,5,5,Ret,6,7,4,9,189
4,5,Kimi Räikkönen,1F,7,2,2,2,10,9,5,2,2,Ret,11,3,2,5,7F,Ret,-,-,183
5,6,Nico Rosberg,Ret,4,Ret,9P,6P,1P,5,1,9,19†,4,6,4,7,8,2,3,9,5,171
6,7,Romain Grosjean,10,6,9,3,Ret,Ret,13,19†,3,6,8,8,Ret,3,3,3,4,2,Ret,132
7,8,Felipe Massa,4,5,6,15,3,Ret,8,6,Ret,8,7,4,6,9,10,4,8,12,7,112
8,9,Jenson Button,9,17†,5,10,8,6,12,13,6,7,6,10,7,8,9,14,12,10,4,73
9,10,Nico Hülkenberg,DNS,8,10,12,15,11,Ret,10,10,11,13,5,9,4,6,19†,14,6,8,51
10,11,Sergio Pérez,11,9F,11,6,9,16†,11,20†,8,9,11,12,8,10,15,5,9,7,6,49
11,12,Paul di Resta,8,Ret,8,4,7,9,7,9,11,18†,Ret,Ret,20†,Ret,11,8,6,15,11,48
12,13,Adrian Sutil,7,Ret,Ret,13,13,5,10,7,13,Ret,9,16†,10,20†,14,9,10,Ret,13,29
13,14,Daniel Ricciardo,Ret,18†,7,16,10,Ret,15,8,12,13,10,7,Ret,19†,13,10,16,11,10,20
14,15,Jean-Éric Vergne,12,10,12,Ret,Ret,8,6,Ret,Ret,12,12,Ret,14,18†,12,13,17,16,15,13
15,16,Esteban Gutiérrez,13,12,Ret,18,11F,13,20†,14,14,Ret,14,13,12,11,7,15,13,13,12,6
16,17,Valtteri Bottas,14,11,13,14,16,12,14,12,16,Ret,15,15,13,12,17,16,15,8,Ret,4
17,18,Pastor Maldonado,Ret,Ret,14,11,14,Ret,16,11,15,10,17,14,11,13,16,12,11,17,16,1
18,19,Jules Bianchi,15,13,15,19,18,Ret,17,16,Ret,16,18,19,18,16,Ret,18,20,18,17,0
19,20,Charles Pic,16,14,16,17,17,Ret,18,15,17,15,Ret,17,19,14,18,Ret,19,20,Ret,0
20,21,Heikki Kovalainen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,0
21,22,Giedo van der Garde,18,15,18,21,Ret,15,Ret,18,18,14,16,18,16,15,Ret,Ret,18,19,18,0
22,23,Max Chilton,17,16,17,20,19,14,19,17,19,17,19,20,17,17,19,17,21,21,19,0
