,Pos.,Driver,AUS,BHR,CHN,AZE,ESP,MON,CAN,FRA,AUT,GBR,GER,HUN,BEL,ITA,SIN,RUS,JPN,USA,MEX,BRA,ABU,Points
0,1,Lewis Hamilton,2P,3,4,1,1P,3,5,1P,Ret,2P,1F,1P,2P,1F,1P,1,1P,3PF,4,1P,1P,408
1,2,Sebastian Vettel,1,1P,8P,4P,4,2,1P,5,3,1F,RetP,2,1,4,3,3,6F,4,2,6,2F,320
2,3,Kimi Räikkönen,3,Ret,3,2,Ret,4,6,3,2F,3,3,3,Ret,2P,5,4,5,1,3,3,Ret,251
3,4,Max Verstappen,6,Ret,5,Ret,3,9F,3F,2,1,15,4,Ret,3,5,2,5,3,2,1,2,3,249
4,5,Valtteri Bottas,8,2F,2,14F,2,5,2,7F,RetP,4,2,5,4F,3,4,2PF,2,5,5F,5F,5,247
5,6,Daniel Ricciardo,4F,Ret,1F,Ret,5F,1P,4,4,Ret,5,Ret,4F,Ret,Ret,6,6,4,Ret,RetP,4,4,170
6,7,Nico Hülkenberg,7,6,6,Ret,Ret,8,7,9,Ret,6,5,12,Ret,13,10,12,Ret,6,6,Ret,Ret,69
7,8,Sergio Pérez,11,16,12,3,9,12,14,Ret,7,10,7,14,5,7,16,10,7,8,Ret,10,8,62
8,9,Kevin Magnussen,Ret,5,10,13,6,13,13,6,5,9,11,7,8,16,18F,8,Ret,DSQ,15,9,10,56
9,10,Carlos Sainz Jr.,10,11,9,5,7,10,8,8,12,Ret,12,9,11,8,8,17,10,7,Ret,12,6,53
10,11,Fernando Alonso,5,7,7,7,8,Ret,Ret,16,8,8,16,8,Ret,Ret,7,14,14,Ret,Ret,17,11,50
11,12,Esteban Ocon,12,10,11,Ret,Ret,6,9,Ret,6,7,8,13,6,6,Ret,9,9,DSQ,11,14,Ret,49
12,13,Charles Leclerc,13,12,19,6,10,18,10,10,9,Ret,15,Ret,Ret,11,9,7,Ret,Ret,7,7,7,39
13,14,Romain Grosjean,Ret,13,17,Ret,Ret,15,12,11,4,Ret,6,10,7,DSQ,15,11,8,Ret,16,8,9,37
14,15,Pierre Gasly,Ret,4,18,12,Ret,7,11,Ret,11,13,14,6,9,14,13,Ret,11,12,10,13,Ret,29
15,16,Stoffel Vandoorne,9,8,13,9,Ret,14,16,12,15,11,13,Ret,15,12,12,16,15,11,8,15,14,12
16,17,Marcus Ericsson,Ret,9,16,11,13,11,15,13,10,Ret,9,15,10,15,11,13,12,10,9,Ret,Ret,9
17,18,Lance Stroll,14,14,14,8,11,17,Ret,17,14,12,Ret,17,13,9,14,15,17,14,12,18,13,6
18,19,Brendon Hartley,15,17,20,10,12,19,Ret,14,Ret,Ret,10,11,14,Ret,17,Ret,13,9,14,11,12,4
19,20,Sergey Sirotkin,Ret,15,15,Ret,14,16,17,15,13,14,Ret,16,12,10,19,18,16,13,13,16,15,1
