,Pos.,Driver,BHR,EMI,POR,ESP,MON,AZE,FRA,STY,AUT,GBR,HUN,BEL,NED,ITA,RUS,TUR,USA,MXC,SAP,QAT,SAU,ABU,Points
0,1,Max Verstappen,2P,1,2,2F,1,18F,1PF,1P,1PF,Ret1 P,9,1P,1P,Ret2 P,2,2,1P,1,22,2F,2,1PF,395.5
1,2,Lewis Hamilton,1,2PF,1,1P,7F,15,2,2F,4,12,2P,3,2F,Ret,1,5,2F,2,1,1P,1PF,2,387.5
2,3,Valtteri Bottas,3F,Ret,3PF,3,Ret,12,4,3,2,33,Ret,12,3,31,5,1PF,6,15PF,31 P,Ret,3,6,226
3,4,Sergio Pérez,5,11,4,5,4,1,3,4,6,16F,Ret,19,8,5,9,3,3,3,4F,4,Ret,15,190
4,5,Carlos Sainz Jr.,8,5,11,7,2,8,11,6,5,6,3,10,7,6,3,8,7,6,63,7,8,3,164.5
5,6,Lando Norris,4,3,5,8,3,5,5,5,3,4,Ret,14,10,2,7PF,7,8,10,10,9,10,7,160
6,7,Charles Leclerc,6,4,6,4,DNSP,4P,16,7,8,2,Ret,8,5,4,15,4,4,5,5,8,7,10,159
7,8,Daniel Ricciardo,7,6,9,6,12,9,6,13,7,5,11,4,11,13 F,4,13,5,12,Ret,12,5,12,115
8,9,Pierre Gasly,17,7,10,10,6,3,7,Ret,9,11,5F,6,4,Ret,13,6,Ret,4,7,11,6,5,110
9,10,Fernando Alonso,Ret,10,8,17,13,6,8,9,10,7,4,11,6,8,6,16,Ret,9,9,3,13,8,81
10,11,Esteban Ocon,13,9,7,9,9,Ret,14,14,Ret,9,1,7,9,10,14,10,Ret,13,8,5,4,9,74
11,12,Sebastian Vettel,15,15,13,13,5,2,9,12,17,Ret,DSQ,5,13,12,12,18,10,7,11,10,Ret,11,43
12,13,Lance Stroll,10,8,14,11,8,Ret,10,8,13,8,Ret,20,12,7,11,9,12,14,Ret,6,11,13,34
13,14,Yuki Tsunoda,9,12,15,Ret,16,7,13,10,12,10,6,15,Ret,DNS,17,14,9,Ret,15,13,14,4,32
14,15,George Russell,14,Ret,16,14,14,17,12,Ret,11,12,8,2,17,9,10,15,14,16,13,17,Ret,Ret,16
15,16,Kimi Räikkönen,11,13,Ret,12,11,10,17,11,15,15,10,18,WD,-,8,12,13,8,12,14,15,Ret,10
16,17,Nicholas Latifi,18,Ret,18,16,15,16,18,17,16,14,7,9,16,11,19,17,15,17,16,Ret,12,Ret,7
17,18,Antonio Giovinazzi,12,14,12,15,10,11,15,15,14,13,13,13,14,13,16,11,11,11,14,15,9,Ret,3
18,19,Mick Schumacher,16,16,17,18,18,13,19,16,18,18,12,16,18,15,Ret,19,16,Ret,18,16,Ret,14,0
19,20,Robert Kubica,-,-,-,-,-,-,-,-,-,-,-,-,15,14,-,-,-,-,-,-,-,-,0
20,21,Nikita Mazepin,Ret,17,19,19,17,14,20,18,19,17,Ret,17,Ret,Ret,18,20,17,18,17,18,Ret,WD,0
